Order_ID,Customer_Name,Email,Phone_Number,Gender,Age,City,State,Country,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Order_Date,Payment_Method,Delivery_Status,Customer_Rating,Sales_Representative,Discount_Percentage
ORD100045,Nikitha Gupta,nikitha.gupta9300@gmail.com,+173466902454,Male,36,Bengaluru,Karnataka,India,Furniture,Sofa Set,7,62387.31,305697.82,27-Apr-2025,PayPal,Returned,4.0,Sara Wilson,30.0
ORD100046,Olivia Iyer@,olivia.iyer3461@yahoo.com,+358725451521,male,22,Melbourne,Victoria,Australia,Furniture,NULL,6,51331.29,215591.42,2025-10-31,Wallet,Processing,5.0,Kavya Singh,30.0
ORD100047,rohan mehta,rohan.mehta7539@outlook.com,+919627032705,FEMALE,30,Manchester,England,UK,Furniture,Bookshelf,4,11644.62,44249.56,,Wallet,Processing,3.0,Ravi Sharma,5.0
ORD100048,Sai Verma,sai.verma1235@yahoo.com,+544862898741,FEMALE,21,Sydney,New South Wales,Australia,Healthcare,BP Monitor,6,4011.29,24067.74,01-31-2025,Debit Card,Returned,1.0,John Miller,0.0
ORD100049,Vivaan Reddy,vivaan.reddy1480@company.com,+918380770668,FEMALE,59,Bengaluru,Karnataka,India,Clothing,Kurti,3,2011.51,5129.35,2025-04-24,Credit Card,Delivered,2.0,Rahul Verma,15.0
ORD100050,Elena Davis,elena.davis6348@company.com,+661045839791,male,26,Chicago,Illinois,USA,NULL,Bookshelf,3,5126.34,12303.22,05-07-2025,Net Banking,Delivered,3.0,Sara Wilson,20.0
ORD100051,Nikitha Singh,nikitha.singh8625@gmail.com,+917818516501,FEMALE,67,Hyderabad,Telangana,India,Clothing,Kurti,8,2868.17,21798.09,2025-01-16,Net Banking,Returned,1.0,Emily Davis,5.0
ORD100052,Daniel Singh,daniel.singh2713@company.com,+917564654057,FEMALE,46,Visakhapatnam,Andhra Pradesh,India,Furniture,Dining Table,5,38438.64,134535.24,06-22-2024,Cash on Delivery,Processing,4.0,Sara Wilson,30.0
ORD100053,Reyansh Nair,reyansh.nair7874@outlook.com,+916440619526,Other,19,Dubai,Dubai,UAE,Clothing,Kurti,3,1622.3,4866.9,18-Aug-2024,Cash on Delivery,Delivered,4.0,Sara Wilson,0.0
ORD100054,rahul patel,rahul.patel5494@yahoo.com,+917232137626,Male,67,Melbourne,Victoria,Australia,Furniture,Sofa Set,-2,63073.91,-88303.47,06-May-2026,Debit Card,Shipped,3.0,Sita Reddy,30.0
ORD100055,Rohan Anderson,rohan.anderson9777@gmail.com,+918469810046,FEMALE,52,Delhi,Delhi,India,Grocery,Cooking Oil,3,749.2,2247.6,2025-05-29,Net Banking,Returned,5.0,Anil Kumar,0.0
ORD100056,Pooja Reddy,pooja.reddy267@outlook.com,+264473920508,Female,69,Mumbai,Maharashtra,India,Grocery,Cooking Oil,6,196.55,1120.34,28-Dec-2025,Credit Card,Delivered,,Rahul Verma,5.0
ORD100057,Ananya Reddy,ananya.reddy5081@company.com,+523023341897,Female,49,Vijayawada,Andhra Pradesh,India,Electronics,Bluetooth Speaker,6,3331.09,16988.56,07-21-2025,PayPal,Cancelled,3.0,Sara Wilson,15.0
ORD100058,  Aditya Williams ,aditya.williams8938@outlook.com,+916343893360,male,35,Los Angeles,California,USA,Furniture,Dining Table,6,47316.59,212924.65,2025/05/13,PayPal,Delivered,1.0,Kavya Singh,25.0
ORD100059,Reyansh Sharma,reyansh.sharma571@yahoo.com,+919343698064,Other,43,Toronto,Ontario,Canada,Healthcare,Digital Thermometer,6,1082.78,4547.68,2024/02/27,Debit Card,Processing,2.0,Sita Reddy,30.0
ORD100060,Reyansh Miller,reyansh.miller4265@company.com,+918627992499,Male,53,Melbourne,Victoria,Australia,Electronics,Smart Watch,8,5557.42,31121.55,03-06-2025,Net Banking,Processing,3.0,Ravi Sharma,30.0
ORD100061,Sophia Johnson,sophia.johnson2276@yahoo.com,+396249880275,male,70,Toronto,Ontario,Canada,Clothing,Sneakers,2,7188.73,10783.09,02-May-2026,Net Banking,Delivered,2.0,Emily Davis,25.0
ORD100062,Sneha Garcia,sneha.garcia9033@yahoo.com,+474000594905,Female,58,Bengaluru,Karnataka,India,Grocery,Cooking Oil,4,320.07,1024.22,10-30-2023,Net Banking,Processing,2.0,John Miller,20.0
ORD100063,Aditya Davis,aditya.davis2805@outlook.com,+46370393987,male,33,Hyderabad,Telangana,India,Healthcare,BP Monitor,7,3244.07,22708.49,01-04-2025,Wallet,Cancelled,3.0,Rahul Verma,0.0
ORD100064,Vivaan Gupta,vivaan.gupta9940@yahoo.com,+919085345100,Male,21,Toronto,Ontario,Canada,Grocery,Dry Fruits Pack,6,1535.63,9213.78,10/10/2024,Debit Card,Cancelled,5.0,Kavya Singh,0.0
ORD100065,Reyansh Smith,reyansh.smith2611@company.com,+548465802270,male,36,Melbourne,Victoria,Australia,Healthcare,Protein Powder,4,4376.74,17506.96,2026/02/28,Net Banking,Delivered,1.0,Kavya Singh,0.0
ORD100066,Ishita Johnson,ishita.johnson9344@yahoo.com,+917239534867,Female,56,Dubai,Dubai,UAE,Healthcare,First Aid Kit,2,457.92,641.09,08/06/2025,Net Banking,Cancelled,5.0,Anil Kumar,30.0
ORD100067,Sai Smith,sai.smith8447@yahoo.com,+918633107545,Other,61,London,England,UK,Grocery,Dry Fruits Pack,8,1040.02,7488.14,06-25-2023,UPI,Cancelled,5.0,John Miller,10.0
ORD100068,James Anderson,james.anderson9478@yahoo.com,+527492223507,Female,44,London,England,UK,Electronics,Headphones,2,14259.33,24240.86,27-Mar-2024,Net Banking,Returned,4.0,Anil Kumar,15.0
ORD100069,Elena Nair,elena.nair6174@outlook.com,+376951918053,Other,48,New York,New York,USA,Clothing,Kurti,4,1894.22,6819.19,19-Jul-2024,Debit Card,Returned,,John Miller,10.0
ORD100070,Sanjay Wilson,sanjay.wilson2400@outlook.com,+919067213499,FEMALE,33,Sydney,New South Wales,Australia,Clothing,Jeans,5,3448.45,12931.69,2023/12/31,Credit Card,Delivered,,Sara Wilson,25.0
ORD100071,Diya Reddy,diya.reddy2253@gmail.com,+448354950544,Male,29,Melbourne,Victoria,Australia,Grocery,Wheat Flour,1,464.06,464.06,2024/09/08,Cash on Delivery,Shipped,1.0,Kavya Singh,0.0
ORD100072,sophia mehta,sophia.mehta1759@outlook.com,+918754415831,Male,65,Melbourne,Victoria,Australia,Healthcare,Protein Powder,2,1809.5,2714.25,29/10/2024,Debit Card,Processing,5.0,Meera Nair,25.0
ORD100073,Rahul Williams,rahul.williams3028@yahoo.com,,male,37,Visakhapatnam,Andhra Pradesh,India,Grocery,Wheat Flour,1,686.85,618.17,2023-09-26,Credit Card,Cancelled,,Sara Wilson,10.0
ORD100074,Ava Kumar,ava.kumar3619@yahoo.com,+170557500167,male,51,Toronto,Ontario,Canada,Furniture,Bed Frame,4,57525.68,172577.04,2023/11/05,PayPal,Processing,1.0,David Brown,25.0
ORD100075,Meena Davis,meena.davis8526@company.com,+916882192670,male,34,Melbourne,Victoria,Australia,Electronics,Smart Watch,7,4600.69,32204.83,2025-02-11,Wallet,Delivered,,Meera Nair,0.0
ORD100076,Vivaan Williams,vivaan.williams1131@company.com,+917756070122,Male,29,Delhi,Delhi,India,Furniture,Bookshelf,7,14905.71,88688.97,02-18-2024,Net Banking,Cancelled,5.0,Ravi Sharma,15.0
ORD100077,Mia Sharma,mia.sharma8921@company.com,+919536306171,FEMALE,20,Sydney,New South Wales,Australia,Electronics,Smartphone,7,72235.04,505645.28,2023-10-06,Cash on Delivery,Returned,,Anil Kumar,0.0
ORD100078,Vivaan Brown,vivaan.brown925@yahoo.com,+917242377075,Male,53,Chicago,Illinois,USA,Grocery,Cooking Oil,3,466.85,1120.44,01-26-2025,Net Banking,Shipped,,Kavya Singh,20.0
ORD100079,Vivaan Johnson,vivaan.johnson5223@company.com,+917288011277,Female,34,NULL,Central Region,Singapore,Grocery,Cooking Oil,1,996.06,846.65,20-Feb-2024,Credit Card,Processing,,Sita Reddy,15.0
ORD100080,Isabella Patel,isabella.patel6180@gmail.com,+882276450865,Female,62,Singapore,Central Region,Singapore,Grocery,Wheat Flour,1,967.76,919.37,17-Jan-2024,Net Banking,Shipped,4.0,Meera Nair,5.0
ORD100081,Kavya Brown,kavya.brown5893@company.com,+919448071114,FEMALE,55,Melbourne,Victoria,Australia,Clothing,Kurti,1,1281.31,1217.24,06-24-2023,Net Banking,Cancelled,3.0,Ravi Sharma,5.0
ORD100082,Diya Brown,diya.brown5531@outlook.com,+708482294267,Male,71,Sydney,New South Wales,Australia,Clothing,Jeans,8,3104.0,19865.6,2023/09/19,Wallet,Delivered,,Anil Kumar,20.0
ORD100083,Charlotte Singh,charlotte.singh150@yahoo.com,+917602884797,FEMALE,70,Melbourne,Victoria,Australia,Healthcare,First Aid Kit,1,969.84,872.86,2024-12-29,PayPal,Cancelled,2.0,Sita Reddy,10.0
ORD100084,Elena Singh,elena.singh5808@outlook.com,+409361278207,male,42,Sydney,New South Wales,Australia,Clothing,Kurti,2,2209.1,3092.74,2023-07-25,Cash on Delivery,Returned,4.0,Anil Kumar,30.0
ORD100085,Reyansh Patel,reyansh.patel9271@gmail.com,+47897401666,Female,66,Melbourne,Victoria,Australia,Grocery,Dry Fruits Pack,1,1539.72,1077.8,2024/07/19,Wallet,Cancelled,1.0,John Miller,30.0
ORD100086,Diya Martinez,diya.martinez5436@company.com,+869184477004,Male,58,Chennai,Tamil Nadu,India,Electronics,Smartphone,2,47284.91,66198.87,08-11-2025,Debit Card,Cancelled,4.0,Meera Nair,30.0
ORD100087,Rahul Williams,rahul.williams4840@yahoo.com,+293410126704,Female,45,Delhi,Delhi,India,Electronics,Smartphone,5,18348.08,64218.28,2024-02-17,Cash on Delivery,Returned,5.0,Sara Wilson,30.0
ORD100088,Aarav Patel,aarav.patel5316@company.com,+917777300707,Male,28,Chennai,Tamil Nadu,India,Clothing,Sneakers,7,4646.73,29274.4,24/02/2026,,Processing,4.0,John Miller,10.0
ORD100089,Aditya Johnson,aditya.johnson9729@yahoo.com,+916581923103,Other,29,London,England,UK,Grocery,Tea Powder,3,381.09,914.62,06-Jul-2024,Cash on Delivery,Processing,3.0,Rahul Verma,20.0
ORD100090,Mia Smith,mia.smith1866@yahoo.com,+918343459102,Other,33,Singapore,Central Region,Singapore,Clothing,Jacket,2,5825.78,8156.09,09/03/2026,Debit Card,Shipped,,Kavya Singh,30.0
ORD100091,Liam Garcia,liam.garcia8301@company.com,+919396120475,male,24,Singapore,Central Region,Singapore,Electronics,Laptop,6,110624.19,530996.11,08-17-2025,UPI,Delivered,3.0,Meera Nair,20.0
ORD100092,Kiran Wilson,kiran.wilson6409@company.com,+759442218719,male,68,Toronto,Ontario,Canada,Grocery,Tea Powder,2,838.03,1257.05,02-18-2025,Credit Card,Returned,4.0,Emily Davis,25.0
ORD100093,Sneha Garcia,sneha.garcia1886@gmail.com,+119747126613,Female,58,Pune,Maharashtra,India,Healthcare,Digital Thermometer,6,917.48,4679.15,28/08/2025,PayPal,Cancelled,4.0,Anil Kumar,15.0
ORD100094,Lucas Garcia,lucas.garcia3372@outlook.com,+876351829076,male,57,Mumbai,Maharashtra,India,Grocery,Wheat Flour,2,397.81,556.93,2025/02/21,Cash on Delivery,Returned,1.0,Emily Davis,30.0
ORD100095,Sneha Anderson,sneha.anderson9670@gmail.com,+917345122542,Female,49,Los Angeles,California,USA,Clothing,Sneakers,3,3718.24,9481.51,2024/05/10,Debit Card,Shipped,2.0,Emily Davis,15.0
ORD100096,Daniel Reddy,daniel.reddy3197@company.com,+720430378187,FEMALE,36,Melbourne,Victoria,Australia,Furniture,Dining Table,1,12712.23,12076.62,04/12/2024,Credit Card,Cancelled,5.0,Rahul Verma,5.0
ORD100097,Arjun Martinez,arjun.martinez6011@gmail.com,+599896109170,Male,67,Manchester,England,UK,Clothing,Kurti,1,2686.02,2417.42,16-Nov-2023,Wallet,Shipped,2.0,David Brown,10.0
ORD100098,Daniel Williams,daniel.williams3391@gmail.com,+918286128610,Female,62,Singapore,Central Region,Singapore,Grocery,Wheat Flour,2,679.55,951.37,09-20-2023,Wallet,Shipped,2.0,Ravi Sharma,30.0
ORD100099,Mia Brown,mia.brown6787@company.com,+918721410516,Other,72,Chennai,,India,Grocery,Tea Powder,6,861.2,3617.04,28-Nov-2023,UPI,Returned,4.0,Meera Nair,30.0
ORD100100,Lucas Miller,lucas.miller9469@yahoo.com,+918084510429,Female,74,Bangaluru,Karnataka,India,Furniture,Office Chair,3,4425.68,13277.04,14/10/2025,PayPal,Processing,2.0,John Miller,0.0
ORD100101,Priya Verma,priya.verma849@company.com,+919118096268,,62,Visakhapatnam,Andhra Pradesh,India,Electronics,Smartphone,2,32299.22,61368.52,2025-11-18,Debit Card,Delivered,4.0,Ravi Sharma,5.0
ORD100102,Diya Brown,diya.brown6023@outlook.com,+919321987467,FEMALE,61,,Delhi,India,Electronics,Headphones,3,8755.06,19698.89,27-Mar-2024,Cash on Delivery,Shipped,1.0,Sita Reddy,25.0
ORD100103,Arjun Martinez,arjun.martinez2291@yahoo.com,+916361845490,male,25,Los Angeles,California,USA,Grocery,Cooking Oil,4,693.64,2497.1,23-Sep-2024,Credit Card,Cancelled,,David Brown,10.0
ORD100104,Aarav Johnson,aarav.johnson9313@company.com,+918933213766,Other,58,Melbourne,Victoria,Australia,Electronics,Headphones,5,1665.72,8328.6,2025/08/14,PayPal,Returned,4.0,Kavya Singh,0.0
ORD100105,Liam Wilson,liam.wilson1295@yahoo.com,+590077859249,Male,18,Chennai,Tamil Nadu,India,Clothing,T-Shirt,7,714.62,4001.87,13/02/2025,PayPal,Shipped,,Anil Kumar,20.0
ORD100106,Priya Davis,priya.davis6093@yahoo.com,+296809258526,FEMALE,41,Mumbai,Mahrastra,India,Furniture,Bookshelf,5,8714.88,34859.52,03-Mar-2026,UPI,Cancelled,5.0,Ravi Sharma,20.0
ORD100107,Ishita Kumar,ishita.kumar8337@gmail.com,12345,Male,54,Melbourne,Victoria,Australia,Clothing,T-Shirt,7,1238.87,8238.49,03-07-2025,Debit Card,Delivered,5.0,Anil Kumar,5.0
ORD100108,Kiran Reddy,kiran.reddy4626@outlook.com,+918375509447,Female,27,Toronto,Ontario,Canada,Grocery,Dry Fruits Pack,6,833.68,4251.77,2024/06/25,UPI,Cancelled,1.0,Meera Nair,15.0
ORD100109,  Aarav Smith ,aarav.smith5039@gmail.com,+917022922016,Male,55,Bengaluru,Karnataka,India,Grocery,Rice Bag,4,683.41,2186.91,22-Jun-2025,UPI,Returned,2.0,Kavya Singh,20.0
ORD100110,Sanjay Reddy,sanjay.reddy4277@outlook.com,+771486864862,Male,52,Chicago,Illinois,USA,Electronics,Laptop,2,50652.86,96240.43,23-Feb-2025,Debit Card,Shipped,4.0,John Miller,5.0
ORD100111,Arjun Patel,arjun.patel9885@gmail.com,+919678954178,FEMALE,65,Chennai,Tamil Nadu,India,Furniture,Bed Frame,5,10083.89,47898.48,27-Aug-2025,Net Banking,Shipped,1.0,Rahul Verma,5.0
ORD100112,  Sai Kumar ,sai.kumar2142@yahoo.com,+754218034327,Male,20,Chennai,Tamil Nadu,India,Electronics,Smartphone,4,84809.82,288353.39,11-26-2023,Cash on Delivery,Delivered,2.0,David Brown,15.0
ORD100113,  Rahul Miller ,rahul.miller3518@yahoo.com,+917915604499,FEMALE,33,Bengaluru,Karnataka,India,Grocery,Tea Powder,8,441.35,3177.72,26/09/2025,PayPal,Returned,1.0,Kavya Singh,10.0
ORD100114,Isabella Miller,isabella.miller8232@outlook.com,ABCDE12345,FEMALE,70,Hyderabad,Telangana,India,Electronics,Smart Watch,4,13941.66,55766.64,09-26-2024,Wallet,Delivered,2.0,David Brown,0.0
ORD100115,Henry Johnson,henry.johnson3876@outlook.com,+394838307202,Other,29,Hyderabad,Telangana,India,Healthcare,First Aid Kit,4,498.68,1396.3,2026/02/23,Cash on Delivery,Delivered,1.0,Anil Kumar,30.0
ORD100116,diya sharma,diya.sharma3301@yahoo.com,+916762184337,Male,39,Chicago,Illinois,USA,Clothing,T-Shirt,6,1738.02,9385.31,2025/08/09,Debit Card,Processing,2.0,Ravi Sharma,10.0
ORD100117,Charlotte Miller,charlotte.miller5847@yahoo.com,+919498054328,FEMALE,38,Los Angeles,California,USA,Clothing,T-Shirt,7,1911.94,9368.51,27/07/2023,Wallet,Returned,2.0,David Brown,30.0
ORD100118,Pooja Singh,pooja.singh5235@yahoo.com,+916381075297,male,49,Chicago,Illinois,USA,Clothing,T-Shirt,2,894.82,1789.64,27/09/2025,Cash on Delivery,Processing,5.0,Kavya Singh,0.0
ORD100119,Pooja Martinez,pooja.martinez1208@gmail.com,+917368878709,Female,56,Mumbai,Maharashtra,India,Furniture,Dining Table,2,49723.15,79557.04,24-Jul-2023,Cash on Delivery,Shipped,1.0,Sita Reddy,20.0
ORD100120,Ananya Williams,ananya.williams4347@outlook.com,+916411955771,Male,31,Singapore,Central Region,Singapore,Grocery,Rice Bag,5,1412.45,5296.69,2024-07-03,Credit Card,Processing,1.0,Rahul Verma,25.0
ORD100121,Ava Brown,ava.brown8915@company.com,+919803162153,Other,69,Pune,Maharashtra,India,Furniture,Bookshelf,5,4786.4,22735.4,2023-12-06,Net Banking,Cancelled,5.0,,5.0
ORD100122,Rahul Davis,rahul.davis7780@yahoo.com,+916339109365,Male,45,Bengaluru,Karnataka,India,Healthcare,First Aid Kit,8,508.03,3861.03,19/06/2024,UPI,Cancelled,2.0,Ravi Sharma,5.0
ORD100123,Ethan Smith,,+919679172843,FEMALE,67,Sydney,New South Wales,Australia,Healthcare,First Aid Kit,7,1164.48,7743.79,2023-12-13,UPI,Processing,5.0,Emily Davis,5.0
